Rank	Δ	Country or territory	HDI value	% annual growth (2010–2022)
1	Steady	  Switzerland	0.967	Increase 0.24%
2	Decrease (1)	 Norway	0.966	Increase 0.25%
3	Steady	 Iceland	0.959	Increase 0.28%
4	Increase (2)	 Hong Kong	0.956	Increase 0.38%
5	Increase (1)	 Denmark	0.952	Increase 0.35%
5	Steady	 Sweden	0.952	Increase 0.38%
7	Increase (8)	 Ireland	0.950	Increase 0.38%
7	Decrease (3)	 Germany	0.950	Increase 0.19%
9	Decrease (1)	 Singapore	0.949	Increase 0.25%
10	Increase (1)	 Netherlands	0.946	Increase 0.26%
10	Decrease (1)	 Australia	0.946	Increase 0.20%
12	Increase (2)	 Liechtenstein	0.942	Increase 0.23%
12	Increase (3)	 Belgium	0.942	Increase 0.26%
12	Steady	 Finland	0.942	Increase 0.27%
15	Increase (3)	 United Kingdom	0.940	Increase 0.24%
16	Decrease (7)	 New Zealand	0.939	Increase 0.13%
17	Increase (19)	 United Arab Emirates	0.937	Increase 1.04%
18	Decrease (5)	 Canada	0.935	Increase 0.22%
19	Increase (3)	 South Korea	0.929	Increase 0.36%
20	Decrease (1)	 Luxembourg	0.927	Increase 0.14%
20	Decrease (5)	 United States	0.927	Increase 0.10%
22	Increase (1)	 Slovenia	0.926	Increase 0.33%
22	Decrease (1)	 Austria	0.926	Increase 0.21%
24	Decrease (4)	 Japan	0.920	Increase 0.16%
25	Decrease (1)	 Israel	0.915	Increase 0.26%
25	Increase (3)	 Malta	0.915	Increase 0.50%
27	Steady	 Spain	0.911	Increase 0.40%
28	Decrease (3)	 France	0.910	Increase 0.28%
29	Increase (3)	 Cyprus	0.907	Increase 0.45%
30	Steady	 Italy	0.906	Increase 0.24%
31	Decrease (2)	 Estonia	0.899	Increase 0.33%
32	Decrease (6)	 Czech Republic	0.895	Increase 0.22%
33	Decrease (3)	 Greece	0.893	Increase 0.18%
34	Increase (3)	 Bahrain	0.888	Increase 0.80%
35	Increase (3)	 Andorra	0.884	Increase 0.20%
36	Decrease (2)	 Poland	0.881	Increase 0.35%
37	Increase (2)	 Latvia	0.879	Increase 0.51%
37	Decrease (2)	 Lithuania	0.879	Increase 0.32%
39	Increase (6)	 Croatia	0.878	Increase 0.53%
40	Steady	 Qatar	0.875	Increase 0.45%
40	Increase (6)	 Saudi Arabia	0.875	Increase 0.70%
42	Steady	 Portugal	0.874	Increase 0.42%
43	Decrease (10)	 San Marino	0.867	Decrease 0.32%
44	Steady	 Chile	0.860	Increase 0.47%
45	Increase (9)	 Turkey	0.855	Increase 1.10%
45	Decrease (5)	 Slovakia	0.855	Increase 0.14%
47	Steady	 Hungary	0.851	Increase 0.22%
48	Decrease (6)	 Argentina	0.849	Increase 0.15%
49	Steady	 Kuwait	0.847	Increase 0.36%
50	Increase (1)	 Montenegro	0.844	Increase 0.38%
51	Decrease (2)	 Saint Kitts and Nevis	0.838	Increase 0.49%
52	Increase (8)	 Uruguay	0.830	Increase 0.47%
53	Increase (3)	 Romania	0.827	Increase 0.14%
54	Increase (1)	 Antigua and Barbuda	0.826	Increase 0.18%
55	Increase (7)	 Brunei	0.823	Increase 0.13%
56	Decrease (3)	 Russia	0.821	Increase 0.25%
57	Increase (3)	 Bahamas	0.820	Increase 0.21%
57	Increase (5)	 Panama	0.820	Increase 0.47%
59	Decrease (7)	 Oman	0.819	Increase 0.22%
60	Decrease (3)	 Trinidad and Tobago	0.814	Increase 0.30%
60	Increase (4)	 Georgia	0.814	Increase 0.54%
62	Increase (2)	 Barbados	0.809	Increase 0.18%
63	Increase (6)	 Malaysia	0.807	Increase 0.41%
64	Increase (5)	 Costa Rica	0.806	Increase 0.39%
65	Increase (3)	 Serbia	0.805	Increase 0.39%
66	Increase (6)	 Thailand	0.803	Increase 0.65%
67	Decrease (1)	 Seychelles	0.802	Increase 0.30%
67	Decrease (4)	 Kazakhstan	0.802	Increase 0.38%
69	Decrease (11)	 Belarus	0.801	Increase 0.12%
70	Decrease (12)	 Bulgaria	0.799	Increase 0.09%
71	Increase (3)	 Palau	0.797	Increase 0.23%
72	Decrease (1)	 Mauritius	0.796	Increase 0.44%
73	Steady	 Grenada	0.793	Increase 0.15%
74	Decrease (8)	 Albania	0.789	Increase 0.25%
75	Increase (18)	 China	0.788	Increase 1.02%
76	Increase (2)	 Armenia	0.786	Increase 0.52%
77	Increase (1)	 Mexico	0.781	Increase 0.37%
78	Decrease (4)	 Iran	0.780	Increase 0.26%
78	Increase (6)	 Sri Lanka	0.780	Increase 0.50%
80	Increase (7)	 Bosnia and Herzegovina	0.779	Increase 0.68%
81	Decrease (5)	 Saint Vincent and the Grenadines	0.772	Increase 0.17%
82	Increase (12)	 Dominican Republic	0.766	Increase 0.67%
83	Decrease (1)	 Ecuador	0.765	Increase 0.32%
83	Decrease (7)	 North Macedonia	0.765	Increase 0.21%
85	Decrease (4)	 Cuba	0.764	Decrease 0.16%
86	Increase (5)	 Moldova	0.763	Increase 0.53%
87	Increase (13)	 Maldives	0.762	Increase 0.81%
87	Decrease (2)	 Peru	0.762	Increase 0.42%
89	Increase (1)	 Azerbaijan	0.760	Increase 0.30%
89	Steady	 Brazil	0.760	Increase 0.43%
91	Decrease (6)	 Colombia	0.758	Increase 0.29%
92	Decrease (1)	 Libya	0.746	Decrease 0.31%
