Season,City,Year,Sport,Event,Name,NOC
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Michelle Gisin,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Mikaela Shiffrin,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Wendy Holdener,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ragnhild Mowinckel,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Petra Vlhova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Valerie Grenier,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ramona Siebenhofer,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Federica Brignone,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Denise Feierabend,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Marta Bassino,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ana Bucik,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Laura Gauche,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ricarda Haaser,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Nevena Ignjatovic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Alice Merryweather,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Maryna Gasienica-Daniel,POL
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Katerina Paulathova,CZE
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Barbara Kantorova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Lindsey Vonn,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Johanna Schnarf,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Noelle Barahona,CHI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Greta Small,AUS
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Candace Crawford,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Kim Vanreusel,BEL
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Elvedina Muzaferija,BIH
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Roni Remme,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Romane Miradoli,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Alexandra Coletti,MON
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Anne-Sophie Barthet,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Sofia Goggia,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Stephanie Venier,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Marusa Ferk,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marcel Hirscher,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Alexis Pinturault,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Victor Muffat-Jeandet,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marco Schwarz,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Ted Ligety,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Thomas Mermillod Blondin,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Kjetil Jansrud,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Stefan Hadalin,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Thomas Dressen,GER
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Klemen Kosi,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Luca Ärni,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Mauro Caviezel,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Filip Zubcic,CRO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Christof Innerhofer,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Carlo Janka,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Ondrej Berndt,CZE
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Bryce Bennett,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Riccardo Tonetti,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Natko Zrncic-Dim,CRO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,James Crawford,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Aleksander Aamodt Kilde,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Adam Zampa,SVK
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Broderick Thompson,CAN
